Waterbody ID,Waterbody Name,District,Zone Regulations,Latitude,Longitude,Surface Area (ha),URL
6900,Acadia Valley Reservoir,Oyen,PP2,51.099316,-110.25524,13.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6900
3899,Alford Lake,Rocky Mountain House,ES2,52.063523,-115.092202,4.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3899
6902,Allison Lake (Chinook Lake),Blairmore,ES1,49.672284,-114.604063,2.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6902
3909,Allstones Lake,Nordegg,ES2,52.303119,-116.418572,3.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3909
17894,Anderson Dam,Drumheller,PP2,51.419906,-112.838356,2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=17894
21353,Ardmore Community Pond,Cold Lake,NB1,54.339952,-110.479159,4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=21353
6903,Ashland Reservoir,Wetaskiwin,PP2,53.147371,-114.409999,11.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6903
3948,Aster Lake,Canmore,ES1,50.577603,-115.210545,1.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3948
6904,Atlantic Richfield Reservoir,High Prairie,NB2,54.832388,-115.326749,5.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6904
6905,Bashaw Pond,Ponoka,PP2,52.581079,-112.966507,12,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6905
6892,Bathing Lake,Pincher Creek,ES1,49.278825,-114.024744,5.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6892
4005,Bear Pond,Canmore,ES1,50.218457,-114.430019,3.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4005
6893,Beaumont,Wetaskiwin,PP2,53.346482,-113.430512,5.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6893
4011,Beauvais Lake,Pincher Creek,ES1,49.411416,-114.105019,82.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4011
4014,Beaver Lake,Sundre,ES2,52.006721,-114.788387,31.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4014
4018,Beaver Mines Lake,Pincher Creek,ES1,49.372895,-114.296284,67.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4018
6894,Bellis Beach Lake,Smoky Lake,NB1,54.100613,-112.15247,19.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6894
6897,Big Iron Lake,High River,ES1,50.233539,-114.430313,1.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6897
4061,Birch Lake,Sundre,ES2,52.011667,-114.854167,28.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4061
6923,Black Nugget Mine Pit,Vegreville,PP2,53.217685,-112.532662,2.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6923
3494,Blood Indian Creek Reservoir,Hanna,PP2,51.24853,-111.210333,90.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3494
6890,Bonnyville Town Pond (Slawuta Lake),Bonnyville,NB1,54.265723,-110.745372,6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6890
417506,Boulder Lake,Red Deer,PP2,52.355924,-113.871506,2.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=417506
6882,Bow City East Ponds,Brooks,PP2,50.434749,-112.259866,4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6882
6884,Boyle Pond,Athabasca,NB2,54.537414,-112.80524,2.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6884
6921,Brazeau Borrow Pit #1,Rocky Mountain House,ES2,52.916194,-115.414317,3.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6921
6922,Brazeau Borrow Pit #2,Rocky Mountain House,ES2,52.934075,-115.492258,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6922
24236,Breazeau Canal,Rocky Mountain House,ES2,52.937066,-115.51217,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=24236
6873,Brooks Aquaduct Pond,Brooks,ES2,50.524756,-111.843722,13.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6873
6876,Bud Miller Park Pond,Lloydminster,PP2,53.259224,-110.040698,3.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6876
6879,Burmis Lake,Pincher Creek,ES1,49.553784,-114.299609,7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6879
4159,Burns Lake,High River,ES1,49.553784,-114.299609,1.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4159
6880,Burn's Reservoir,Pincher Creek,ES1,49.492841,-113.93045,3.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6880
4161,Burnstick Lake,Sundre,ES2,51.986695,-114.884038,366.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4161
4171,Butcher's Lake,Pincher Creek,ES1,49.303994,-114.061148,3.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4171
6614,By the Lake Park,Wetaskiwin,PP2,52.976846,-113.408198,11.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6614
21332,Camp 9 Trout Pond,Rocky Mountain House,ES2,52.84209,-115.125149,7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=21332
4208,Captain Ayre Lake,Provost,PP2,52.29945,-110.714832,20.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4208
6868,Cardiff Park Pond,Stony Plain,PP2,53.763266,-113.584073,11.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6868
20258,Castaway Trout Pond,Vegreville,PP2,53.097592,-111.79091,1.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=20258
18022,Castor Eastside Trout Pond,Stettler,PP2,52.218207,-111.91105,1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=18022
4231,Cavan Lake,Medicine Hat,PP1,49.935915,-110.407082,31.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4231
6778,Cecil Thompson Pond,Peace River,NB3,56.209063,-117.20295,1.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6778
3499,Chain Lakes Reservoir,Claresholm,ES1,50.236864,-114.20802,643.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3499
6607,Champion Lakes Lower,Cochrane,ES1,50.813258,-114.597433,4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6607
6608,Champion Lakes Upper,Cochrane,ES1,50.815306,-114.599941,8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6608
4252,Chatwin Lake,Bonnyville,NB1,54.24779,-110.841712,78.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4252
4261,Chickakoo Lake,Stony Plain,PP2,53.618628,-114.074339,18.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4261
4265,Chin Lake,Lethbridge,PP1,49.636404,-112.252288,164.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4265
6860,Chrystina (Windy) Lake,Slave Lake,NB2,54.786102,-115.194645,41.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6860
6861,Cipperley's Reservoir,Olds,PP2,51.7253,-114.111399,6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6861
6082,Claude N Bernnan Memorial Pond (Vermillion Park,Vermillion,PP2,53.364531,-110.884936,1.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6082
6858,Coleman Fish and Game Pond (McGillivray),Blairmore,ES1,49.655563,-114.559795,3.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6858
4318,Commonwealth Lake,Canmore,ES1,50.806944,-115.345556,1.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4318
6859,Corner Lake,Lethbridge,PP1,49.446821,-112.648546,6.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6859
6845,Coronation Reservoir,Coronation,PP2,52.105809,-111.44958,10.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6845
6846,Cottonwood Lake,Pincher Creek,ES1,49.5588,-113.8722,8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6846
417477,County Sportsplex Pond,Grande Prairie,ES4,55.237091,-118.812752,2.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=417477
4340,Cow Lake,Rocky Mountain House,ES2,52.260185,-115.005926,844.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4340
4351,Crane Lake (Moore Lake),Cold Lake,NB1,54.51,-110.52,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4351
23293,Crossfield Trout Pond,Cochrane,ES1,51.422275,-114.049779,1.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=23293
4374,Crowsnest Lake,Blairmore,ES1,49.634111,-114.637963,126.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4374
6850,Cummings Lake,Fairview,NB3,56.093732,-118.376801,2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6850
6659,Dandurand Lake,Edson,ES3,53.565803,-116.736533,2.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6659
6852,Daysland Pond,Camrose,PP2,52.86884,-112.263607,1.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6852
6853,Dewitt's Pond,Cochrane,ES1,51.262527,-114.121485,3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6853
6844,Dickson Trout Pond,Red Deer,ES2,52.011001,-114.309334,64.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6844
4446,Dillberry Lake,Lloydminster,PP2,52.576348,-110.004391,70.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4446
6833,Diplomat Mine Pond,Camrose,PP2,52.50583,-112.180118,5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6833
4458,Doleberg Lake,Barrhead,NB2,Not Found,Not Found,34.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4458
6836,Dormer Lake,Canmore,ES1,51.590937,-115.498976,6.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6836
4488,Dunn Lake,Edson,ES3,53.654925,-117.685762,13.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4488
4495,Eagle Lake,Sundre,ES2,51.726322,-115.462742,15.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4495
4460,East Dollar Lake,Valleyview,ES4,55.314926,-117.204628,5.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4460
6840,East Pit Lake,Stony Plain,PP2,53.584969,-114.473822,18.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6840
22993,East Stormwater Pond,Ponoka,PP2,52.469538,-113.709921,1.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=22993
6044,East Twin Lake,Manning,NB3,57.45,-117.533333,23.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6044
6842,Echo Dale Regional Park,Medicine Hat,PP1,50.049958,-110.780527,2.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6842
4505,Edith Lake,High Prairie,NB2,54.801854,-115.382263,22.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4505
6820,Elk Creek Pond,Rocky Mountain House,ES2,52.056822,-115.657217,5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6820
417505,Elk Point Pond,Elk Point,NB1,53.888476,-110.910587,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=417505
4532,Emerald Lake,Whitecourt,ES3,54.333426,-115.61828,3.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4532
4535,Emerson Lakes,Edson,ES3,53.727362,-117.118253,17,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4535
6823,Enchant Park Pond,Lethbridge,PP1,50.161135,-112.432267,2.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6823
4539,Engstrom Lake,Fort McMurray,NB4,56.188889,-110.906389,79.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4539
6662,Entry Lake,Nordegg,ES2,52.106097,-116.564829,4.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6662
4562,Fairfax Lake,Edson,ES3,52.971131,-116.576532,32.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4562
6825,Fairview College Pond,Fairview,NB3,56.0588,-118.387234,3.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6825
4571,Fickle Lake,Hinton,ES3,53.45,-116.766667,382.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4571
24364,Fiesta Lake,Sundre,ES2,51.995874,-114.726449,7.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=24364
6827,Figure Eight Lake,Peace River,NB3,56.30153,-117.906378,37,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6827
5804,Fish lake (Shunda Lake),Nordegg,ES2,52.451617,-116.149976,51.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5804
6830,Footner Pond,High Level,NB3,58.608147,-117.156875,6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6830
6831,Foremost Reservoir,Foremost,PP1,49.477485,-111.456691,5.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6831
4614,Fortress Lake,Canmore,ES1,50.834761,-115.235806,3.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4614
6813,Forty Mile Coulee Reservoir,Foremost,PP1,49.643425,-111.393806,671.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6813
6815,Fox Creek Trout Pond,Fox Creek,ES3,54.45359,-116.888798,2.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6815
4642,Galatea Lakes,Canmore,ES1,50.865879,-115.265111,5.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4642
4647,Gap Lake,Nordegg,ES2,52.330286,-115.830899,12.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4647
23292,Genesee Trout Pond,Wetaskiwin,PP2,53.376492,-114.309875,1.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=23292
6816,Gibbons Park Pond,Edmonton,PP2,53.830514,-113.332084,1.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6816
6818,Gold Spring Park Pond,Lethbridge,PP1,49.095497,-111.995479,5.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6818
4697,Goldeye Lake,Nordegg,ES2,52.449584,-116.192114,18.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4697
4708,Goose Lake,Swan Hills,NB2,54.31,-115.136,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4708
6809,Gooseberry Park Pond,Coronation,PP2,52.110661,-110.771236,8.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6809
4725,Grande Cache Lake,Grande Cache,ES2,53.9,-119.05,163.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4725
6810,Granum Pond,Claresholm,PP1,49.870282,-113.516665,1.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6810
3476,Grotto Mountain Pond,Canmore,ES1,51.065761,-115.202402,2.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3476
6806,Hansen's Reservoir,Red Deer,PP2,52.297145,-114.394522,2.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6806
6808,Harleck Pond,Nordegg,ES2,52.494632,-115.972609,0.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6808
4794,Hasse Lake,Stony Plain,PP2,53.487212,-114.173756,90,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4794
6803,Helmer Reservoir,Hanna,PP2,51.649233,-111.983108,2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6803
6790,Heritage Pond,Stony Plain,PP2,53.799728,-113.66643,1.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6790
6791,Hermitage Lake,Edmonton,PP2,53.581702,-113.371337,5.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6791
26431,High Level Community Pond,High Level,NB3,58.517177,-117.163713,3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=26431
6794,Highway 40 Pond,Grande Prairie,ES4,54.958674,-118.782831,1.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6794
6668,Highway 63 Pond,Fort McMurray,NB4,56.588109,-111.320447,1.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6668
6795,Highway 686 Pond,Peace River,NB3,56.372419,-116.954587,5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6795
6796,Hiller's (Dam) Reservoir,Olds,PP2,51.739122,-113.978521,8.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6796
6917,Hinton Fish and Game Pond (Cold Creek Trout Pond),Hinton,ES3,53.341065,-117.605197,5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6917
6541,Hogarth Lakes (Lower),Canmore,ES1,50.797209,-115.322777,0.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6541
4837,Hogarth Lakes (Upper),Canmore,ES1,50.793015,-115.318769,2.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4837
6669,Horseshoe Lake,Athabasca,NB2,54.489439,-113.783183,13.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6669
6780,Huber Reservoir,Coronation,PP2,52.221611,-111.732917,14.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6780
4888,Ice Lake,Sundre,ES2,51.655556,-115.584444,5.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4888
6784,Innisfree Trout Pond,Vegreville,PP2,53.39796,-111.629354,1.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6784
6785,Irma Fish and Game Pond,Vermillion,PP2,52.918593,-111.236446,4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6785
6786,Ironside Pond,Rocky Mountain House,ES2,52.246795,-114.996541,33,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6786
4909,Island Lake,Blairmore,ES1,49.627778,-114.684444,49.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4909
4920,Jack Fish Lake,Vermilion,PP2,53.594311,-111.296351,69,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4920
4935,Jane Lake,Slave Lake,NB2,54.872509,-115.11153,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4935
6788,Jarvis Creek Pond,Hinton,ES3,53.508917,-117.810057,1.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6788
4944,Jesse Lake,Slave Lake,NB2,54.895503,-114.965309,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4944
26729,Kakut Lake,Spirit River,ES4,55.625,-118.533333,2.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=26729
4977,Kehiwn Lake,Bonnyville,NB1,54.058619,-110.897271,663.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4977
4978,Keho Lake,Lethbridge,PP1,49.934598,-112.991633,2266.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4978
6770,Kerbe's Pond,Stettler,PP2,52.112277,-112.844594,3.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6770
26447,Kids Can Catch Pond,Calgary,PP2,51.041403,-114.017656,1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=26447
6654,Kinglet Lake,Nordegg,ES2,52.04985,-116.473242,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6654
5002,Kinky Lake,Hinton,ES3,53.280836,-117.783145,15.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5002
6773,Kraft Winborne Pond,Drumheller,PP2,51.859122,-113.620127,6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6773
6774,Kramer Pond,Wetaskiwin,PP2,52.906846,-114.745933,6.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6774
20267,La Crete Pond,Fort Vermilion,NB3,58.197347,-115.906655,9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=20267
4027,Lac Bellevue,St Paul,NB1,53.810455,-111.336866,461.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4027
4426,Lac Delorme,St Paul,NB1,53.896214,-111.1509,15,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4426
19760,Lac La Biche Trout Pond,Lac La Biche,NB1,54.775532,-111.953265,1.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=19760
6776,Lacombe Park Pond,Edmonton,PP2,53.637547,-113.653734,1.4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6776
5434,Lake Newell,Brooks,PP2,50.436159,-111.940536,6218.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5434
4854,Lake of the Horns,High River,ES1,50.413889,-114.855278,6.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4854
3479,Lambert Pond,Edson,ES3,53.566383,-116.481493,3.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3479
5029,Landslide Lake,Nordegg,ES2,52.08109,-116.553435,50.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5029
24053,Lara Fish Pond,Bonnyville,NB1,54.3089,-110.61054,1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=24053
6764,Leduc Reservoir,Wetaskiwin,PP2,53.259984,-113.567083,103,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6764
5050,Lees Lake,Pincher Creek,ES1,49.541912,-114.248586,37.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5050
6765,Legal Reservoir,Stony Plain,PP2,53.947431,-113.586428,1.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6765
26322,Len Thompson Pond,Red Deer,PP2,52.476805,-113.712706,2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=26322
5074,Lillian Lake,Canmore,ES1,50.863852,-115.249942,3.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5074
5078,Lilly Lake,Slave Lake,NB2,55.483333,-114.766667,Not Found,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5078
5093,Little Bear Lake (Hasse Lake),Cold Lake,NB1,54.551596,-110.300937,47.1,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=5093
3515,Little Bow Lake Reservoir,Vulcan,PP1,50.194355,-112.675682,803.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3515
6760,Lloydminster Trout Pond,Lloydminster,PP2,54.551596,-110.300937,6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6760
