id,catch_date,record_date,location,length,weight,fly_size,fly_colour,notes,fish_id,fly_id,lake_id,fish_swami,num_landed,temp_id
113,2022-10-29,2022-12-29,,0,0,,Olive,,1,10,260,44434,2,38
114,2022-10-16,2022-12-29,,0,0,,Black,,3,10,36,44355,1,34
115,2022-10-16,2022-12-29,,0,0,,Black,,1,10,36,44355,1,34
116,2022-10-13,2022-12-29,,0,0,,Olive,,3,26,85,44334,2,32
117,2022-10-13,2022-12-29,,0,0,,Olive,,1,26,85,44334,1,32
118,2022-06-28,2022-12-29,,0,0,,Olive,,1,27,266,43598,1,26
119,2022-06-21,2022-12-29,,0,0,,,,1,9,103,43533,1,22
120,2022-06-05,2022-12-29,,0,0,,,,1,22,103,43392,1,18
121,2022-06-05,2022-12-29,,0,0,,Red,,1,9,103,43392,10,18
122,2022-06-10,2022-12-29,,0,0,,,,1,23,103,43448,4,17
123,2022-06-10,2022-12-29,,0,0,,,,1,23,103,43448,2,17
124,2022-06-25,2022-12-29,,0,0,,,,1,11,103,43353,1,14
125,2022-05-28,2022-12-29,,0,0,,Olive,,1,27,11,43298,1,14
126,2022-05-28,2022-12-29,,0,0,,Chartreuse,,1,15,36,43298,1,14
127,2022-05-28,2022-12-29,,0,0,,Black,,1,10,36,43298,2,14
128,2022-05-17,2022-12-29,,0,0,,Red,,1,19,103,43180,1,12
129,2022-05-17,2022-12-29,,0,0,,Red,,1,19,103,43180,1,12
130,2022-05-15,2022-12-29,,0,0,,Chartreuse,,1,15,36,43169,1,11
131,2022-05-04,2022-12-29,,0,0,,,,1,10,103,43056,2,10
132,2022-05-04,2022-12-29,,0,0,,,,1,18,103,43056,2,10
133,2022-05-13,2022-12-29,,0,0,,,,1,10,103,43145,3,8
134,2022-05-09,2022-12-29,,0,0,,,,1,10,103,43116,2,8
135,2022-05-03,2022-12-29,,0,0,,Orange,,1,15,103,43052,2,6
136,2022-05-03,2022-12-29,,0,0,,Brown,,1,19,103,43052,5,6
137,2022-05-03,2022-12-29,,0,0,,Brown,,1,10,103,43052,2,6
138,2022-10-23,2022-12-29,,0,0,,Black,,1,10,85,44395,1,1
139,2022-09-08,2022-12-29,,0,0,,,,1,26,193,44094,1,1
140,2022-06-30,2022-12-29,,0,0,,Olive,,1,26,193,43622,2,1
141,2022-06-30,2022-12-29,,0,0,,Red,,1,16,193,43622,2,1
142,2022-06-30,2022-12-29,,0,0,,Black,,1,1,193,43622,2,1
143,2022-06-29,2022-12-29,,0,0,,Red,,1,16,252,43607,8,1
144,2022-06-17,2022-12-29,,0,0,,Olive,,1,24,36,43503,1,1
145,2022-06-11,2022-12-29,,0,0,,,,1,21,23,43459,2,1
146,2022-06-09,2022-12-29,,0,0,,,,1,9,103,43442,1,1
147,2022-06-07,2022-12-29,,0,0,,,,1,21,103,43423,2,1
148,2022-06-23,2022-12-29,,0,0,,,,1,9,103,43376,1,1
149,2022-05-25,2022-12-29,,0,0,,Chartreuse,,1,20,103,43264,4,1
150,2022-05-23,2022-12-29,,0,0,,,,1,20,36,43247,1,1
151,2022-05-23,2022-12-29,,0,0,,Black,,1,10,36,43247,1,1
152,2022-05-23,2022-12-29,,0,0,,Black,,1,27,36,43247,1,1
153,2022-10-30,2022-12-30,,0,0,,,Water temp only log,,,85,44438,0,38
154,2022-10-30,2022-12-30,,0,0,,,Water temp only log,,,85,44438,0,37
155,2022-05-20,2022-12-30,,0,0,,,Water temp only log,,,36,43209,0,9
156,2022-04-30,2022-12-30,,0,0,,,Water temp only log,,,85,43012,0,6
157,2022-04-27,2022-12-30,,0,0,,,Water temp only log,,,85,42995,0,2
158,2022-04-23,2022-12-30,,0,0,,,Water temp only log,,,103,42943,0,4
160,2022-04-23,2022-12-30,,25,0,,Black,,1,10,85,42948,1,1
161,2022-04-20,2022-12-30,,0,0,,,Water temp only log,,,103,42926,0,3
162,2021-10-28,2022-12-31,,56,0,,,,1,30,99,42198,1,1
163,2021-10-28,2022-12-31,,30,0,,brown,,1,10,36,42199,1,38
164,2021-10-26,2022-12-31,,0,0,,,,,,103,42185,0,37
165,2021-10-24,2022-12-31,,25,0,,brown,Fished with Matt,1,10,142,42170,1,37
166,2021-10-24,2022-12-31,,20,0,,brown,Fished with Matt,3,10,142,42170,1,37
167,2021-10-12,2022-12-31,,0,0,,,,,,103,42104,0,36
168,2021-10-11,2022-12-31,,0,0,,,,,,103,42104,0,36
169,2021-10-06,2022-12-31,,0,0,,,,,,85,42059,0,32
170,2021-10-06,2022-12-31,,0,0,,,,,,85,41995,0,31
171,2021-09-28,2022-12-31,,0,0,,,,,,85,41994,0,31
172,2021-09-28,2022-12-31,,18,0,,white,,1,30,36,41996,0,31
173,2021-09-25,2022-12-31,,30,0,,olive,,1,11,85,41996,2,30
174,2021-10-12,2023-01-03,,0,0,,,Water temp only log,,,103,42104,0,36
175,2021-10-11,2023-01-03,,0,0,,,Water temp only log,,,103,42087,0,36
176,2021-10-10,2023-01-03,,0,0,,,Water temp only log,,,103,42086,0,35
177,2021-10-06,2023-01-03,,0,0,,,Water temp only log,,,85,42059,0,32
178,2021-09-29,2023-01-03,,0,0,,,Water temp only log,,,85,41995,0,31
179,2021-09-28,2023-01-03,,0,0,,,Water temp only log,,,85,41994,0,30
180,2021-09-28,2023-01-03,,18,0,,white,,1,1,36,41996,2,31
181,2021-09-25,2023-01-03,,30,0,,olive,,1,11,36,41961,2,30
182,2021-09-22,2023-01-03,,0,0,,olive,,,,103,41963,0,30
183,2021-09-21,2023-01-03,,0,0,,olive,,,,85,41951,0,31
184,2021-09-20,2023-01-03,,0,0,,olive,Water temp only log,,,36,41927,0,31
185,2021-09-19,2023-01-03,,0,0,,olive,Water temp only log,,,103,41926,0,31
186,2021-09-14,2023-01-03,,0,0,,olive,Water temp only log,,,103,41900,0,27
187,2021-09-11,2023-01-03,,20,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',1,1,21,41873,1,26
188,2021-09-06,2023-01-03,,20,0,,olive,,1,,85,41845,1,1
189,2021-09-11,2023-01-03,,15,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',1,1,21,41873,1,26
190,2021-09-11,2023-01-03,,15,0,,brown,'I took Isiah and John out. First time at the lake. Water boatman were the winners. I did two throat pumps. The first was a small one and we JUST Daphnia. Not activly feeding. Might want to try a blob. The second was on one of the larger fish. It was Daphnia and water boatman. NO scuds, leaches or DF nymphs.',3,1,21,41873,1,26
