Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Alford Lake,,SW4-36-8-W5,RNTR,Riverance,AF3N,14.4,1000,2023-09-18
Alford Lake,,SW4-36-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,2023-05-11
Allstones Lake,,NW30-38-17-W5,BKTR,Beitty Resort,3N,10.7,650,2023-09-07
Bear Pond,,NW36-14-4-W5,TGTR,Beitty/Bow River,3N,20.3,750,2023-06-13
Beauvais Lake,,SW29-5-1-W5,CTTR,Job Lake,3N,13.6,17000,2023-05-05
Beauvais Lake,,SW29-5-1-W5,CTTR,Job Lake,3N,17.5,5803,2023-09-13
Beaver Lake,,NE16-35-6-W5,TGTR,Beitty/Bow River,3N,23.2,1000,2023-09-15
Beaver Lake,,NE16-35-6-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.4,1185,2023-05-12
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Campbell Lake,3N,9.5,10000,2023-04-26
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.1,10902,2023-04-26
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,21.5,3000,2023-05-04
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,11.3,5000,2023-09-15
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,18.6,500,2023-05-12
Birch Lake,,SE18-35-6-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.4,1659,2023-05-12
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,18.7,2500,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,33.1,310,2023-10-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,3N,20.2,30999,2023-05-02
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,17.1,2500,2023-09-26
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Pit Lake,2N,16.2,6975,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,19.9,4000,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,10.5,4625,2023-10-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.4,4389,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,17.1,2500,2023-09-27
Bonnyville Town Pond,Slawuta Lake,NW7-61-5-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,500,2023-05-05
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,20.7,2000,2023-05-10
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,19.9,2000,2023-05-03
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20.3,1995,2023-05-03
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,TGTR,Beitty/Bow River,3N,19.5,2000,2023-05-16
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,8.7,5000,2023-05-09
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.2,3192,2023-05-16
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,3N,17.9,1505,2023-09-21
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,BNTR,Bow River,3N,18,1000,2023-05-16
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.1,1705,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,8.7,25000,2023-05-29
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,15.6,5000,2023-06-07
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,15.6,20000,2023-09-21
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,2020,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.1,2750,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,13.1,10000,2023-06-07
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverance,AF3N,13.4,10000,2023-09-11
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverance,AF3N,14.9,8235,2023-09-21
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.7,13746,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.1,5500,2023-09-11
Champion Lakes,Lower Champion Lake,NW26-21-5-W5,CTTR,Job Lake,3N,14.5,300,2023-06-13
Champion Lakes,Upper Champion Lake,NW26-21-5-W5,CTTR,Job Lake,3N,14.5,300,2023-06-13
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,8.9,3340,2023-05-25
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,3N,8,2660,2023-05-25
Chatwin Lake,,NE4-61-6-W4,RNTR,Pit Lake,2N,16,1734,2023-05-19
Chatwin Lake,,NE4-61-6-W4,RNTR,Trout Lodge/Kamloops,AF2N,17.4,2674,2023-05-19
Chickakoo Lake,Chickako Lake,SW34-53-1-W5,RNTR,Campbell Lake,2N,19.9,3990,2023-05-10
Chrystina Lake,,NW8-67-8-W5,BKTR,Beitty Resort,3N,21.4,1523,2023-06-07
Claude N. Brennan Memorial Pond,Vermilion Park Pond,NE36-50-7-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1250,2023-05-19
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,18.2,1100,2023-05-15
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,8.3,18000,2023-09-18
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,9.1,60000,2023-05-11
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,7.2,13350,2023-05-30
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,2N,17.1,9800,2023-09-19
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,15.7,2500,2023-09-19
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,15.7,2500,2023-09-20
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,2N,17.1,1613,2023-09-28
Cow Lake,,NE12-38-8-W5,RNTR,Riverance,AF3N,14.1,5000,2023-09-18
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.5,12000,2023-05-15
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.4,12662,2023-05-15
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.9,5166,2023-06-05
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,15.5,3000,2023-05-01
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,13.3,5000,2023-05-05
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,16,3000,2023-05-25
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,20,2000,2023-05-04
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,9.1,4000,2023-09-19
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.3,3990,2023-05-04
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lake,2N,16.3,4650,2023-05-04
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.2,3192,2023-05-05
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,9.5,5000,2023-05-23
Dunn Lake,,NW7-54-25-W5,BKTR,Beitty Resort,3N,22.5,2000,2023-10-06
Eagle Lake,,SW11-32-11-W5,CTTR,Job Lake,3N,16.7,1500,2023-09-07
East Dollar Lake,,NW8-73-21-W5,TGTR,Beitty/Bow River,3N,20,300,2023-05-09
East Dollar Lake,,NW8-73-21-W5,BNTR,Bow River,3N,18.6,500,2023-05-09
East Dollar Lake,,NW8-73-21-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1506,2023-05-09
Edith Lake,,NE13-67-10-W5,BKTR,Beitty Resort,3N,21.4,1550,2023-06-06
Emerald Lake,,SW5-62-11-W5,BKTR,Beitty Resort,3N,23.4,1800,2023-10-06
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,18.7,200,2023-04-24
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,1400,2023-04-24
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1500,2023-05-16
Emerson Lakes,,NW6-55-21-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.6,1067,2023-05-23
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,3N,9,20000,2023-05-17
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,3N,15.8,10002,2023-09-12
Engstrom Lake,,NW17-83-6-W4,RNTR,Trout Lodge/Kamloops,AF3N,16.9,11539,2023-05-17
Fairfax Lake,,NW17-46-18-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.6,4740,2023-05-23
Goldeye Lake,,NE14-40-16-W5,RNTR,Campbell Lake,3N,8.9,5000,2023-05-15
Goldeye Lake,,NE14-40-16-W5,RNTR,Riverance,AF3N,13.4,5000,2023-09-12
Goldeye Lake,,NE14-40-16-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.8,4740,2023-05-16
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,9.6,20000,2023-05-15
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,14.8,5001,2023-09-12
Grande Cache Lake,,NE1-57-8-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.6,8332,2023-05-30
"Grotto Mountain
Pond",,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,22.3,800,2023-07-12
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,803,2023-05-19
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,800,2023-06-12
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,500,2023-05-09
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,3N,8.9,6000,2023-05-08
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,19.9,1995,2023-05-09
Hasse Lake,,SW13-52-2-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.4,2083,2023-05-09
Hinton F & G Pond,Hinton Borrow Pit,SW28-50-25-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,151,2023-05-30
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,23.1,400,2023-09-18
Ironside Pond,,SW7-38-7-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.5,251,2023-05-15
Island Lake,,NW12-8-6-W5,CTTR,Job Lake,3N,15.5,1900,2023-05-02
Jack Fish Lake,,NW20-53-9-W4,TGTR,Beitty/Bow River,3N,19.9,1000,2023-05-03
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.1,1995,2023-05-03
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,3N,8.9,8000,2023-05-04
Kakut Lake,,SW34-76-4-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,753,2023-05-10
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,19.8,5000,2023-05-25
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,21.4,2000,2023-06-06
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,22.5,1500,2023-10-06
Lac La Biche Trout Pond,Alexander Hamilton Pond,NW5-67-13-W4,RNTR,Campbell Lake,2N,20,239,2023-05-12
Lac La Biche Trout Pond,Alexander Hamilton Pond,NW5-67-13-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.6,310,2023-09-21
Lambert Pond,,NW8-53-17-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.8,948,2023-05-23
Landslide Lake,,NE7-36-18-W5,CTTR,Job Lake,3N,17.2,5750,2023-09-07
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,18.7,1000,2023-04-24
Lees Lake,,SW8-7-2-W5,RNTR,Campbell Lake,3N,9.5,10000,2023-04-26
Lees Lake,,SW8-7-2-W5,RNTR,Riverance,AF3N,13.4,10000,2023-09-05
Lees Lake,,SW8-7-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,5020,2023-04-24
Lees Lake,,SW8-7-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.2,4740,2023-04-24
Lily Lake,,NW7-75-5-W5,BKTR,Beitty Resort,3N,12.1,3660,2023-10-11
Lily Lake,,NW7-75-5-W5,TGTR,Beitty/Bow River,3N,24.2,325,2023-10-11
Little Bear Lake,Hasse Lake,NW19-64-2-W4,BKTR,Beitty Resort,3N,21,2700,2023-06-07
Little Bear Lake,Hasse Lake,NW19-64-2-W4,BKTR,Beitty Resort,3N,11.7,7000,2023-09-19
Little Bear Lake,Hasse Lake,NW19-64-2-W4,TGTR,Beitty/Bow River,3N,19.5,1500,2023-05-12
Little Bear Lake,Hasse Lake,NW19-64-2-W4,TGTR,Beitty/Bow River,3N,9.1,2500,2023-09-19
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Campbell Lake,2N,20.1,1995,2023-05-12
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Pit Lake,2N,16,2325,2023-05-12
Little Bear Lake,Hasse Lake,NW19-64-2-W4,RNTR,Riverance,AF3N,14.4,5000,2023-09-18
Margaret Lake,,NW15-28-9-W5,CTTR,Job Lake,3N,14.6,3067,2023-06-12
Marigold Lake,,NW32-65-11-W5,BKTR,Beitty Resort,3N,12.1,7000,2023-10-11
Mary Gregg Lake,,NW4-48-24-W5,RNTR,Trout Lodge/Kamloops,AF3N,19.8,1896,2023-09-08
Mclean Pond,,NW20-22-5-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,1807,2023-05-19
Mclean Pond,,NW20-22-5-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,2750,2023-06-13
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,20.4,10113,2023-05-16
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,20.1,8922,2023-05-17
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,8.3,25000,2023-05-23
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,6.9,12100,2023-05-30
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,15.1,18154,2023-09-14
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Campbell Lake,3N,14.4,32741,2023-09-26
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Jumpers,AF3N,18.4,7402,2023-09-14
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.5,23700,2023-05-12
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.7,2653,2023-09-26
Mcleod Lake,Carson Lake,SE25-61-12-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.7,201,2023-09-26
Medley River,,SE11-65-2-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.3,753,2023-05-25
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,3N,18.3,1500,2023-05-08
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,3N,10.1,4625,2023-09-22
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,2N,31.5,325,2023-09-22
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,RNTR,Campbell Lake,2N,20.1,2933,2023-05-08
Michichi Reservoir,,SW19-30-18-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.3,2811,2023-05-01
Millers Lake,,SW8-53-19-W5,TGTR,Beitty/Bow River,3N,23.4,1683,2023-09-25
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,8.8,5000,2023-05-16
Millers Lake,,SW8-53-19-W5,RNTR,Campbell Lake,3N,20.7,5296,2023-05-23
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,24.1,1000,2023-09-15
Mitchell Lake,,NE25-37-8-W5,TGTR,Beitty/Bow River,3N,9.8,400,2023-09-15
Mitchell Lake,,NE25-37-8-W5,BNTR,Bow River,3N,17.9,500,2023-05-17
Mitchell Lake,,NE25-37-8-W5,RNTR,Campbell Lake,3N,19.9,810,2023-05-17
Mitchell Lake,,NE25-37-8-W5,RNTR,Riverance,AF3N,14.6,1000,2023-09-15
Mitchell Pond,Waskasoo Park Pond,NW18-38-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.1,1000,2023-06-15
Mitchell Pond,Waskasoo Park Pond,NW18-38-27-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1500,2023-05-10
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,RNTR,Trout Lodge/Kamloops,AF2N,17.9,4166,2023-05-29
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,TGTR,Beitty/Bow River,3N,20.3,1975,2023-05-29
Moonshine Lake,Mirage Lake,SE31-79-8-W6,TGTR,Beitty/Bow River,3N,23.4,1794,2023-09-26
Moonshine Lake,Mirage Lake,SE31-79-8-W6,BNTR,Bow River,3N,18,500,2023-05-10
Moonshine Lake,Mirage Lake,SE31-79-8-W6,BNTR,Bow River,3N,20.8,500,2023-09-26
Moonshine Lake,Mirage Lake,SE31-79-8-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.5,4408,2023-05-10
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.4,800,2023-06-29
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,22.6,800,2023-07-25
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,23.1,800,2023-08-10
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,402,2023-05-19
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,800,2023-06-12
Mount Lorette Ponds,,SW19-23-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,22.3,800,2023-07-12
Muir Lake,,NW32-53-27-W4,BNTR,Bow River,AF3N,18.2,500,2023-05-11
Muir Lake,,NW32-53-27-W4,RNTR,Trout Lodge/Jumpers,3N,19.9,1506,2023-05-11
Muskiki Lake,,NW5-45-20-W5,CTTR,Job Lake,3N,13.5,5000,2023-06-02
Muskiki Lake,,NW5-45-20-W5,CTTR,Job Lake,3N,17.1,3000,2023-09-06
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,TGTR,Beitty/Bow River,3N,19.9,250,2023-05-03
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2570,2023-05-03
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,19.1,5500,2023-05-30
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,9.1,12000,2023-09-25
Obed Lake,,SW11-53-22-W5,BNTR,Bow River,3N,20.8,1861,2023-09-25
Ole Lake,,NW30-84-12-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,1506,2023-05-10
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,2N,27,280,2023-05-11
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,2N,45,25,2023-05-15
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,2N,35,50,2023-05-15
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Pit Lake,2N,45,25,2023-05-11
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,7500,2023-05-03
Parker Lake,,SE25-70-5-W5,BKTR,Beitty Resort,3N,12.1,2700,2023-10-11
Parlby Reservoir,Tees Fish Pond,NE25-40-24-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,400,2023-05-10
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,9.4,90309,2023-05-02
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,13.1,20000,2023-06-07
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,15.6,5000,2023-06-07
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,15.8,20000,2023-09-27
